paper_id,title,corpus_group,year,arxiv_or_venue,problem,threat_model,attack,defense,adaptive_component,evaluation_protocol,datasets_benchmarks,metrics,limitations,overlap_with_adapti_guard
P12,AgentCanary: A Security Evaluation Framework for Autonomous AI Agents in Real Executable Environments,02_AGENT_SECURITY,2026,2606.10484,Multi-threat agent security (used by HARD),Multi-threat agent security (used by HARD),YES,Security evaluation framework,N/A,Executable-environment agent security eval,Executable-environment agent security eval,PARTIAL,Bench framework; not AG adaptive intervention levels,BACKGROUND
P13,StepJack: Benchmarking Computer-Use Agent Safety Against Multi-Step Indirect Prompt Injection,02_AGENT_SECURITY,2026,2608.06477,Multi-step IPI against computer-use agents,Multi-step IPI against computer-use agents,PARTIAL,Benchmark,N/A,Multi-step CUA injection benchmark,Multi-step CUA injection benchmark,PARTIAL,Different stack; no discrete SUC levels,BACKGROUND
P14,"Adaptive Adversaries: A Multi-Turn, Multi-LLM Benchmark for LLM Agent Security",02_AGENT_SECURITY,2026,2607.18063,Adaptive multi-turn attackers vs memoryless defenders,Adaptive multi-turn attackers vs memoryless defenders,YES,Benchmark (attack-side),N/A,21-scenario multi-LLM adaptive adversary bench,21-scenario multi-LLM adaptive adversary bench,PARTIAL,Complementary threat model AG does not primarily evaluate against,BACKGROUND
P15,AutoDojo: Adaptive Black-Box Attacks Reveal the Limits of IPI Defenses and Task-Specification Effects in LLM Agents,02_AGENT_SECURITY,2026,2606.15057,Adaptive black-box IPI optimizer against defenses,Adaptive black-box IPI optimizer against defenses,YES,Attack/eval framework (not a defense),N/A,AgentDojo + LLM optimizer; ASR recovery under adaptive attacks,AgentDojo + LLM optimizer; ASR recovery under adaptive attacks,YES,Exposes AG evolving-eval gap; not a competing defense,BACKGROUND
P16,Adaptive Evaluation of Out-of-Band Defenses Against Prompt Injection in LLM Agents,02_AGENT_SECURITY,2026,2606.26479,Adaptive eval of out-of-band system defenses,Adaptive eval of out-of-band system defenses,YES,Evaluation methodology,N/A,Adaptive probes of CaMeL/Progent/FIDES-class defenses,Adaptive probes of CaMeL/Progent/FIDES-class defenses,YES,Eval paper; reinforces need for adaptive-attacker testing,BACKGROUND
P17,Many-Tier Instruction Hierarchy in LLM Agents,02_AGENT_SECURITY,2026,2604.09443,Multi-tier instruction privilege confusion in agents,Multi-tier instruction privilege confusion in agents,NO,Many-tier instruction hierarchy mechanisms,PARTIAL,Agent instruction-priority evaluations,Agent instruction-priority evaluations,PARTIAL,Privilege hierarchy ≠ AG sanitize/restrict/block levels,BACKGROUND
P18,PISmith: Reinforcement Learning-based Red Teaming for Prompt Injection Defenses,02_AGENT_SECURITY,2026,2603.13026,RL red-teaming / adaptive PI against defenses,RL red-teaming / adaptive PI against defenses,YES,Attack generation (red team),N/A,Adaptive PI attack optimization vs defended models,Adaptive PI attack optimization vs defended models,PARTIAL,Attack tool; complementary pressure test for AG claims,BACKGROUND
P19,Defeating Prompt Injections by Design (CaMeL),03_DEFENSE,2025,2503.18813,IPI via untrusted data influencing control/data flow,IPI via untrusted data influencing control/data flow,NO,System isolation + capability labels / control-data separation,NO,AgentDojo with security guarantees claims,AgentDojo with security guarantees claims,YES,Static architecture; no adaptive L0–L3 SUC policy,BACKGROUND
P20,Progent: Securing AI Agents with Privilege Control,03_DEFENSE,2025,2504.11703,Tool misuse via PI / privilege abuse,Tool misuse via PI / privilege abuse,PARTIAL,Programmable tool privilege policies / reference monitor,PARTIAL,AgentDojo privilege-policy evaluation,AgentDojo privilege-policy evaluation,YES,Dynamic privileges exist but not AG mixed SUC level controller,BACKGROUND
P21,Meta SecAlign: A Secure Foundation LLM Against Prompt Injection Attacks,03_DEFENSE,2025,2507.02735,Model-level PI / instruction-data confusion,Model-level PI / instruction-data confusion,PARTIAL,SecAlign-style foundation model fine-tuning,NO,SEP/AgentDojo-style security-utility,SEP/AgentDojo-style security-utility,YES,Static model defense after training,BACKGROUND
P22,MELON: Provable Defense Against Indirect Prompt Injection Attacks in AI Agents,03_DEFENSE,2025,2502.05174,IPI via tool-retrieved content,IPI via tool-retrieved content,PARTIAL,Masked re-execution + tool-call comparison detection,NO,AgentDojo ASR/utility vs SOTA defenses,AgentDojo ASR/utility vs SOTA defenses,YES,Per-step detection; no discrete escalating/de-escalating levels,BACKGROUND
P23,The Task Shield: Enforcing Task Alignment to Defend Against Indirect Prompt Injection in LLM Agents,03_DEFENSE,2025,2412.16682,IPI causing goal deviation,IPI causing goal deviation,NO,Test-time task-alignment verification of instructions/tool calls,NO,AgentDojo ASR≈2% / utility≈70% on GPT-4o,AgentDojo ASR≈2% / utility≈70% on GPT-4o,YES,Fixed alignment checker; no L0–L3 runtime intensity policy / SUC vs fixed levels,PARTIAL_OVERLAP
P24,IPIGuard: A Novel Tool Dependency Graph-Based Defense Against Indirect Prompt Injection in LLM Agents,03_DEFENSE,2025,2508.15310,IPI via tool observations,IPI via tool observations,NO,Tool dependency graph / planning-time isolation,NO,Agent tool-use IPI defense eval,Agent tool-use IPI defense eval,PARTIAL,Static system graph defense,BACKGROUND
P25,DataSentinel: A Game-Theoretic Detection of Prompt Injection Attacks,03_DEFENSE,2025,2504.11358,Prompt injection detection,Prompt injection detection,PARTIAL,Game-theoretic / secret-knowledge detection,NO,Detection FPR/FNR style evals,Detection FPR/FNR style evals,PARTIAL,Detector only; no intervention-level adaptation,BACKGROUND
P26,PromptArmor: Simple yet Effective Prompt Injection Defenses,03_DEFENSE,2025,2507.15219,Prompt injection,Prompt injection,NO,Simple prompting/filtering defenses,NO,Standard PI defense comparisons,Standard PI defense comparisons,PARTIAL,Non-adaptive light defenses,BACKGROUND
P27,InjecGuard / PIGuard: Benchmarking and Mitigating Over-defense in Prompt Injection Guardrail Models,03_DEFENSE,2024,2410.22770,PI detection with over-defense risk,PI detection with over-defense risk,NO,Guardrail detector trained against trigger-word over-defense,NO,Detector accuracy + over-defense metrics,Detector accuracy + over-defense metrics,YES,Detector allocation/quality ≠ AG intervention levels; no escalate/de-escalate SUC policy,PARTIAL_OVERLAP
P28,AgentVisor: Defending LLM Agents Against Prompt Injection via Semantic Virtualization,03_DEFENSE,2026,2604.24118,Direct + indirect PI on tool agents,Direct + indirect PI on tool agents,NO,Semantic visor / STI audit + one-shot self-correction,PARTIAL,Low ASR with small utility drop vs no defense,Low ASR with small utility drop vs no defense,YES,Fixed semantic mediation; no L0–L3 SUC controller,BACKGROUND
P29,AttriGuard: Defeating Indirect Prompt Injection in LLM Agents via Causal Attribution of Tool Invocations,03_DEFENSE,2026,2603.10749,IPI via untrusted tool outputs,IPI via untrusted tool outputs,YES,Parallel counterfactual causal attribution of tool calls,NO,AgentDojo/ASB static+adaptive; token overhead as cost,AgentDojo/ASB static+adaptive; token overhead as cost,YES,"Runtime tests with cost axis, but no discrete level policy or legitimate de-escalation schedule",PARTIAL_OVERLAP
P30,Defending against Adaptive Prompt Injection Attacks via Reasoning-enabled Task Alignment (RETA),03_DEFENSE,2026,2606.15441,Adaptive IPI / instruction-data hijack,Adaptive IPI / instruction-data hijack,YES,Reasoning-enabled task alignment at test time,PARTIAL,Adaptive PI defense comparisons,Adaptive PI defense comparisons,YES,Alignment reasoning ≠ AG discrete intensity controller,PARTIAL_OVERLAP
P31,"UniGuardian: A Unified Defense for Detecting Prompt Injection, Backdoor Attacks and Adversarial Attacks",03_DEFENSE,2025,2502.13141,PI + backdoor + adversarial inputs,PI + backdoor + adversarial inputs,NO,Unified detection defense,NO,Multi-threat detection benchmarks,Multi-threat detection benchmarks,PARTIAL,Detector unification only,BACKGROUND
P32,VIGIL: Defending LLM Agents Against Tool Stream Injection,03_DEFENSE,2026,ACL 2026 (anthology 2026.acl-long.443),Tool-stream / functional deception IPI,Tool-stream / functional deception IPI,PARTIAL,Verify-before-commit intent-grounded verification,NO,SIREN + detector comparisons (PIGuard/PromptGuard2),SIREN + detector comparisons (PIGuard/PromptGuard2),YES,Static verify-before-commit; no adaptive L0–L3 SUC vs fixed levels,PARTIAL_OVERLAP
P33,Attention Tracker: Detecting Prompt Injection Attacks in LLMs,03_DEFENSE,2024,2411.00348,Prompt injection detection via attention,Prompt injection detection via attention,NO,Attention-pattern detector,NO,Detection AUC/FNR style,Detection AUC/FNR style,PARTIAL,Detection only,BACKGROUND
P34,From Craft to Kernel: A Governance-First Execution Architecture and Semantic ISA for Agentic Computers,04_BACKGROUND,2026,2604.18652,Agentic system fragility / governance gaps,Agentic system fragility / governance gaps,NO,Kernel/ISA governance architecture proposal,NO,Architectural proposal,Architectural proposal,PARTIAL,Background governance; not PI SUC levels,BACKGROUND
P35,ProbGuard: Proactive Runtime Monitoring for LLM Agent Safety via Probabilistic Prediction,04_BACKGROUND,2025,2508.00500,Long-horizon unsafe trajectories,Long-horizon unsafe trajectories,NO,DTMC probabilistic risk monitor,PARTIAL,Driving/household agent safety monitoring,Driving/household agent safety monitoring,PARTIAL,Different objective/domain than PI intervention levels,BACKGROUND
P36,AgentSentinel: An End-to-End and Real-Time Security Defense Framework for Computer-Use Agents,04_BACKGROUND,2025,2509.07764,Computer-use agent system threats,Computer-use agent system threats,YES,Monitor/tracer/auditor stack,PARTIAL,CUA security with adaptive attack considerations,CUA security with adaptive attack considerations,YES,Different stack than AG MVP PI levels,BACKGROUND
P37,Capability-Routed Guard: Defending Large Reasoning Models Against Reasoning-Centric Jailbreaks,04_BACKGROUND,2026,2608.07892,Reasoning-centric jailbreaks,Reasoning-centric jailbreaks,PARTIAL,Side-channel capability routing + TraceCheck,PARTIAL,Jailbreak routing/utility evaluations,Jailbreak routing/utility evaluations,PARTIAL,Jailbreak routing ≠ agent PI level policy,BACKGROUND
P38,From static to adaptive: immune memory-based jailbreak detection for large language models (MAAG),04_BACKGROUND,2025,2512.03356,Jailbreak detection,Jailbreak detection,YES,Immune-memory multi-agent adaptive guard,YES,Jailbreak detection accuracy/F1,Jailbreak detection accuracy/F1,PARTIAL,Jailbreak memory adaptation; not agent PI SUC levels,BACKGROUND
P39,ALRPHFS: Adversarially Learned Risk Patterns with Hierarchical Fast & Slow Reasoning for Robust Agent Defense,04_BACKGROUND,2025,2505.19260,Harmful user inputs / unsafe agent behaviors,Harmful user inputs / unsafe agent behaviors,PARTIAL,Offline adversarial risk-pattern learning + online fast/slow reasoning,YES,ASR/FPR agent safety checks,ASR/FPR agent safety checks,PARTIAL,Risk-pattern library ≠ discrete intervention levels with legitimate-cost de-escalation,PARTIAL_OVERLAP
P40,SHIELD: An Auto-Healing Agentic Defense Framework for LLM Resource Exhaustion Attacks,04_BACKGROUND,2026,2601.19174,LLM sponge / resource exhaustion,LLM sponge / resource exhaustion,YES,Auto-healing multi-stage defense + knowledge updating,YES,Sponge-attack detection/mitigation,Sponge-attack detection/mitigation,PARTIAL,DoS sponge domain; not PI intervention levels,BACKGROUND
P41,AgentAntibody: An Adaptive Immune System for Defending LLM Agents against Prompt Injection,05_2025_2026,2026,2608.04053,PI exploiting underspecified user security boundary,PI exploiting underspecified user security boundary,PARTIAL,Training-free antibody library with epitope matching + targeted responses,YES,AgentDojo/AgentDyn/LBB; cumulative ASR over encounters,AgentDojo/AgentDyn/LBB; cumulative ASR over encounters,YES,"Memory antibodies adapt responses, not discrete L0–L3 SUC intensity vs fixed levels",PARTIAL_OVERLAP
P42,COPA: Continual Preference Optimization for Adaptive Prompt Injection Defense,05_2025_2026,2026,2608.19982,Evolving PI attack distributions / adaptive adversaries,Evolving PI attack distributions / adaptive adversaries,YES,LoRA + GRPO continual preference optimization with margin-weighted replay,YES,Lifelong CyberSecEval-style attack streams,Lifelong CyberSecEval-style attack streams,YES,Training-time continual learning ≠ runtime discrete intervention policy,PARTIAL_OVERLAP
P43,SecOPD: Mitigating Adaptive Prompt Injections by On-Policy Distillation,05_2025_2026,2026,2608.21500,Adaptive PI (PISmith) against model defenses,Adaptive PI (PISmith) against model defenses,YES,Token-level on-policy distillation fine-tuning,NO,SEP ASR vs Meta-SecAlign; agentic tool-calling transfer,SEP ASR vs Meta-SecAlign; agentic tool-calling transfer,YES,Static after train; no runtime level adaptation,BACKGROUND
P44,Send a SCOUT First: Pre-hoc Reasoning for Adaptive Detector Allocation in Prompt-Injection Defense,05_2025_2026,2026,2605.30837,Heterogeneous PI detector blind spots,Heterogeneous PI detector blind spots,NO,Per-request detector allocation + optional LLM-judge escalation,YES,SCOUT-450 + BIPIA/IPI/IHEval; safety–utility–latency frontier,SCOUT-450 + BIPIA/IPI/IHEval; safety–utility–latency frontier,YES,"Closest on cost/utility tradeoff, but allocates detectors not AG intervention levels",PARTIAL_OVERLAP
P45,Beyond Handcrafted Security: Towards Self-Evolving Defense for LLM Agents (HARD),05_2025_2026,2026,2608.12977,DPI/IPI/memory/skill poisoning incl. adaptive settings,DPI/IPI/memory/skill poisoning incl. adaptive settings,YES,Harness evolver refining context/action intervention artifacts from failures,YES,AgentCanary static+adaptive; security-utility tradeoff,AgentCanary static+adaptive; security-utility tradeoff,YES,Offline evolution cycles ≠ episode L0–L3 escalate/de-escalate under mixed schedule,PARTIAL_OVERLAP
P46,SafeHarness: Lifecycle-Integrated Security Architecture for LLM-based Agent Deployment,05_2025_2026,2026,2604.13630,Harness-level compromises across agent lifecycle phases,Harness-level compromises across agent lifecycle phases,PARTIAL,Inform/Verify/Constrain/Correct with privilege degradation 0–4 + safe-window recovery,YES,Multi-harness baselines; UBR/ASR reductions with utility preservation,Multi-harness baselines; UBR/ASR reductions with utility preservation,PARTIAL,Closest on escalate/de-escalate discrete levels; privilege tiers ≠ detect/sanitize/restrict/block; recovery≠legitimate-cost thresholds; no AG 75/25 SUC vs fixed,PARTIAL_OVERLAP
P47,SHE: Trajectory-driven Safety Harness Evolution for LLM Agents,05_2025_2026,2026,2608.09885,Trajectory safety failures,Trajectory safety failures,PARTIAL,Trajectory-driven safety harness evolution,YES,Harness evolution safety/utility eval,Harness evolution safety/utility eval,PARTIAL,Harness evolution iterations ≠ AG episode SUC levels,PARTIAL_OVERLAP
P48,"HarnessX: A Composable, Adaptive, and Evolvable Agent Harness Foundry",05_2025_2026,2026,2606.14249,General agent performance via harness,General agent performance via harness,NO,Composable evolvable harness foundry,YES,Multi-bench performance harness evolution,Multi-bench performance harness evolution,PARTIAL,Performance harnesses; not PI SUC intervention levels,BACKGROUND
P49,"Adapting the Interface, Not the Model: Runtime Harness Adaptation for Deterministic LLM Agents",05_2025_2026,2026,2605.22166,Deterministic agent interface adaptation,Deterministic agent interface adaptation,NO,Runtime harness/interface updates,YES,Deterministic env loops,Deterministic env loops,PARTIAL,Interface adaptation ≠ PI defense levels,BACKGROUND
P50,DRIFT / dynamic plan-constraint agent defense (as evaluated in AgentDyn; Li et al. 2026 lineage),07_VERIFIED_AGENT_PAPERS,2026,cited in AgentDyn/AgentAntibody as DRIFT dynamic validator defense,IPI under open-ended/dynamic agent trajectories,IPI under open-ended/dynamic agent trajectories,PARTIAL,Initial plan constraints + dynamic validator / deviation isolation,PARTIAL,AgentDojo / AgentDyn defense comparisons,AgentDojo / AgentDyn defense comparisons,YES,Dynamic plan validation ≠ AG discrete L0–L3 SUC intensity controller,BACKGROUND
P51,FIDES / information-flow out-of-band agent defense class (as analyzed by Adaptive Evaluation of Out-of-Band Defenses),07_VERIFIED_AGENT_PAPERS,2026,cited in 2606.26479 out-of-band defense class with CaMeL/Progent/RTBAS/FORGE,IPI against tool-using agents,IPI against tool-using agents,PARTIAL,Out-of-band information-flow / policy enforcement outside the model,NO,AgentDojo-class static + adaptive OOB evaluation discussion,AgentDojo-class static + adaptive OOB evaluation discussion,PARTIAL,Static OOB enforcement ≠ adaptive discrete intervention levels with legitimate-cost de-escalation,BACKGROUND
P52,RTBAS / FORGE-class out-of-band reference-monitor defenses (grouped verified agent system defenses),07_VERIFIED_AGENT_PAPERS,2026,cited in 2606.26479 alongside CaMeL/Progent/FIDES,IPI / integrity attacks on tool agents,IPI / integrity attacks on tool agents,PARTIAL,Out-of-band IFC screeners / Datalog or symbolic policy monitors,NO,AgentDojo near-zero ASR under static eval; adaptive eval sparse,AgentDojo near-zero ASR under static eval; adaptive eval sparse,PARTIAL,"Deterministic OOB monitors are adjacent system defenses, not AG mixed-workload SUC level controllers",BACKGROUND
P53,Automatic and Universal Prompt Injection Attacks against Large Language Models,08_supporting,2024,2403.04957,Automatic universal PI attacks,Automatic universal PI attacks,YES,Attack generation,N/A,Universal attack success evaluations,Universal attack success evaluations,PARTIAL,Attack paper; complementary,BACKGROUND
P54,WebInject: Prompt Injection Attack to Web Agents,08_supporting,2025,2505.11717,PI against web agents,PI against web agents,PARTIAL,Attack paper,N/A,Web-agent injection cases,Web-agent injection cases,PARTIAL,Attack threat context,BACKGROUND
P55,Evaluating and Improving Robustness in Large Language Models: A Survey and Future Directions,08_supporting,2025,2506.11111,Broad LLM robustness (incl. adversarial/PI-related themes),Broad LLM robustness (incl. adversarial/PI-related themes),PARTIAL,Survey,N/A,Survey synthesis,Survey synthesis,PARTIAL,Background survey only,BACKGROUND
